,player_name,batting_raa,batting_balls,bowling_raa,bowling_balls,total_raa,total_balls,replacement_level_raa,vorp,war
bd17b45f,S Binny,3.531952675175487,42.0,10.43790427132676,43.0,13.969856946502247,85.0,0.0,13.969856946502247,0.16532375084618045
af2c687b,Colin Munro,13.371378261243342,72.0,0.0,0.0,13.371378261243342,72.0,0.0,13.371378261243342,0.1582411628549508
c4487b84,AB de Villiers,12.174250200113729,294.0,0.0,0.0,12.174250200113729,294.0,0.0,12.174250200113729,0.14407396686525123
48a1d7b7,S Hetmyer,11.445614163434847,76.0,0.0,0.0,11.445614163434847,76.0,0.0,11.445614163434847,0.13545105518857806
acee4cc4,I Tahir,0.0,0.0,10.095977077812636,371.0,10.095977077812636,371.0,0.0,10.095977077812636,0.11947901867233889
6eb146d2,GM Singh,9.974401212395108,72.0,0.0,0.0,9.974401212395108,72.0,0.0,9.974401212395108,0.11804025103426163
51a3c5ef,McClenaghan,-7.791393317622935,16.0,17.42535569737288,114.0,9.633962379749944,130.0,0.0,9.633962379749944,0.11401138910946679
fe11caa6,W Saha,9.591687143988807,55.0,0.0,0.0,9.591687143988807,55.0,0.0,9.591687143988807,0.113511090461406
dcce6f09,D Warner,9.196981155641938,486.0,0.0,0.0,9.196981155641938,486.0,0.0,9.196981155641938,0.10884001367623594
a4e37e47,Dubey,1.6420499446203454,26.0,7.438870545255501,11.0,9.080920489875846,37.0,0.0,9.080920489875846,0.10746651467308693
8b3e9c7c,P Shaw,8.911222572549038,270.0,0.0,0.0,8.911222572549038,270.0,0.0,8.911222572549038,0.10545825529643832
1dc12ab9,S Raina,9.22808139865375,320.0,-0.41117119610782793,6.0,8.816910202545921,326.0,0.0,8.816910202545921,0.10434213257450795
2e171977,A Patel,-8.39987930010697,90.0,16.30622844316301,301.0,7.90634914305604,391.0,0.0,7.90634914305604,0.09356626204800048
da934ee8,M Lomror,7.741701050008904,3.0,0.0,0.0,7.741701050008904,3.0,0.0,7.741701050008904,0.09161776390543082
4b57e452,Murali Vijay,7.694136002034544,61.0,0.0,0.0,7.694136002034544,61.0,0.0,7.694136002034544,0.09105486392940289
e4cdf230,A Roy,0.0,0.0,5.229055945707809,15.0,5.229055945707809,15.0,0.0,5.229055945707809,0.06188231888411608
93b4fc78,M Pandey,4.753503568382531,268.0,0.0,0.0,4.753503568382531,268.0,0.0,4.753503568382531,0.056254480099201545
2f9d0389,L Ferguson,0.0,0.0,4.172773272145117,107.0,4.172773272145117,107.0,0.0,4.172773272145117,0.049381932214735115
f088b960,S Khan,4.292447222690952,145.0,-0.2334735035568954,2.0,4.058973719134056,147.0,0.0,4.058973719134056,0.048035191942414866
81049310,Jayant Yadav,0.0,0.0,3.5366653647602906,43.0,3.5366653647602906,43.0,0.0,3.5366653647602906,0.04185402798532888
2be41edb,M Guptill,3.4417513435089866,54.0,0.0,0.0,3.4417513435089866,54.0,0.0,3.4417513435089866,0.040730785130283866
