,batting_raa,batting_balls,bowling_raa,bowling_balls,total_raa,total_balls,replacement_level_raa,vorp,war
0f721006,-21.309495500749037,217.0,-79.76135874948298,1048.0,-101.07085425023202,1265.0,0.0,-101.07085425023202,-1.1961047840264145
0fa5042b,-3.965896147006726,37.0,0.0,0.0,-3.965896147006726,37.0,0.0,-3.965896147006726,-0.04693368221309735
107c26fb,0.0,0.0,-35.57151654425214,39.0,-35.57151654425214,39.0,0.0,-35.57151654425214,-0.42096469283138627
10a91f35,-3.4526418327493777,7.0,-5.699867414453913,46.0,-9.152509247203291,53.0,0.0,-9.152509247203291,-0.1083137189018141
11614d87,2.909044754005497,28.0,7.691355573833592,166.0,10.60040032783909,194.0,0.0,10.60040032783909,0.1254485245898117
119678fd,-9.98582075238535,298.0,-154.94802923352998,1401.0,-164.93384998591534,1699.0,0.0,-164.93384998591534,-1.9518798814901224
11df3dc8,42.29126180781185,198.0,0.0,0.0,42.29126180781185,198.0,0.0,42.29126180781185,0.5004883054178917
12314277,0.039262467110637855,36.0,-48.551919342540565,129.0,-48.512656875429926,165.0,0.0,-48.512656875429926,-0.5741142825494666
12b610c2,88.73059020462011,307.0,-16.329981594562046,48.0,72.40060861005807,355.0,0.0,72.40060861005807,0.856811936213705
12eddf28,-25.999302067517014,112.0,52.188061716749615,865.0,26.1887596492326,977.0,0.0,26.1887596492326,0.3099261496950604
1399b39c,-10.524956871567772,110.0,0.0,0.0,-10.524956871567772,110.0,0.0,-10.524956871567772,-0.12455570262210382
13c35c9e,-6.670685033690281,108.0,-52.63405478250415,1255.0,-59.304739816194434,1363.0,0.0,-59.304739816194434,-0.7018312404283366
14b14cd8,-2.5107638823872698,5.0,0.0,0.0,-2.5107638823872698,5.0,0.0,-2.5107638823872698,-0.029713182040086033
14f96089,19.128029008160574,24.0,-20.126061018057214,424.0,-0.9980320098966402,448.0,0.0,-0.9980320098966402,-0.01181102970291882
1558d83b,0.0,0.0,-9.846738036125776,48.0,-9.846738036125776,48.0,0.0,-9.846738036125776,-0.11652944421450623
16043342,-24.796620516708913,103.0,-29.33979343846262,188.0,-54.136413955171534,291.0,0.0,-54.136413955171534,-0.6406676207712607
1647bd37,-6.814902452325993,12.0,-48.71874690386525,213.0,-55.53364935619125,225.0,0.0,-55.53364935619125,-0.6572029509608431
16605a1b,0.0,0.0,-3.768737430611605,13.0,-3.768737430611605,13.0,0.0,-3.768737430611605,-0.04460044296581781
16dfcc19,19.90327968745018,19.0,0.5333301686279301,153.0,20.43660985607811,172.0,0.0,20.43660985607811,0.24185337107784746
1763bc6c,-9.829902547341222,17.0,0.0,0.0,-9.829902547341222,17.0,0.0,-9.829902547341222,-0.11633020766084286
18c78b11,-10.250201608138479,74.0,0.0,0.0,-10.250201608138479,74.0,0.0,-10.250201608138479,-0.12130416104305893
18e6906e,6.596077343560782,19.0,-9.608361221094752,108.0,-3.01228387753397,127.0,0.0,-3.01228387753397,-0.03564832991164461
19b9f399,0.0,0.0,-0.7434905250977507,17.0,-0.7434905250977507,17.0,0.0,-0.7434905250977507,-0.008798704439026635
1a0c3177,-11.503126043918876,13.0,19.731349962504023,773.0,8.228223918585147,786.0,0.0,8.228223918585147,0.09737543098917334
1a156c88,-3.180423488237639,102.0,3.184816368011771,18.0,0.004392879774131941,120.0,0.0,0.004392879774131941,5.19867428891354e-05
